Backfilling LGA boundaries for 542 locales.
[213/542] Halls Creek... ok (Polygon, 51164 chars)
[214/542] Harvey... ok (Polygon, 144123 chars)
[215/542] Hawkesbury... ok (Polygon, 437586 chars)
[216/542] Hay... ok (Polygon, 421720 chars)
[217/542] Hepburn... ok (Polygon, 232341 chars)
[218/542] Hilltops... ok (Polygon, 324117 chars)
[219/542] Hinchinbrook... ok (MultiPolygon, 69334 chars)
[220/542] Hindmarsh... ok (Polygon, 24700 chars)
[221/542] Hobart... ok (Polygon, 109364 chars)
[222/542] Hobsons Bay... ok (Polygon, 62609 chars)
[223/542] Holdfast Bay... ok (Polygon, 18706 chars)
[224/542] Hope Vale... ok (MultiPolygon, 97604 chars)
[225/542] Hornsby... ok (MultiPolygon, 642969 chars)
[226/542] Horsham... ok (Polygon, 192902 chars)
[227/542] Hume... ok (Polygon, 168373 chars)
[228/542] Hunters Hill... ok (Polygon, 82365 chars)
[229/542] Huon Valley... ok (MultiPolygon, 3351076 chars)
[230/542] Indigo... ok (Polygon, 191999 chars)
[231/542] Inner West... ok (MultiPolygon, 74696 chars)
[232/542] Inverell... ok (Polygon, 436624 chars)
[233/542] Ipswich... ok (Polygon, 84794 chars)
[234/542] Irwin... ok (Polygon, 83273 chars)
[235/542] Isaac... ok (MultiPolygon, 350666 chars)
[236/542] Jerramungup... ok (MultiPolygon, 623795 chars)
[237/542] Joondalup... ok (Polygon, 56664 chars)
[238/542] Junee... ok (Polygon, 95437 chars)
[239/542] Kalamunda... ok (Polygon, 72217 chars)
[240/542] Kalgoorlie-Boulder... ok (Polygon, 6074 chars)
[241/542] Kangaroo Island... ok (MultiPolygon, 546212 chars)
[242/542] Karoonda East Murray... ok (Polygon, 35165 chars)
[243/542] Karratha... ok (MultiPolygon, 533596 chars)
[244/542] Katanning... ok (Polygon, 14111 chars)
[245/542] Katherine... ok (MultiPolygon, 29777 chars)
[246/542] Kellerberrin... ok (Polygon, 28806 chars)
[247/542] Kempsey... ok (MultiPolygon, 395020 chars)
[248/542] Kent... ok (Polygon, 13544 chars)
[249/542] Kentish... ok (Polygon, 256005 chars)
[250/542] Kiama... ok (Polygon, 83255 chars)
[251/542] Kimba... ok (Polygon, 16090 chars)
[252/542] Kingborough... ok (MultiPolygon, 1239616 chars)
[253/542] King Island... ok (MultiPolygon, 842548 chars)
[254/542] Kingston (SA)... ok (Polygon, 44008 chars)
[255/542] Kingston (Vic.)... ok (Polygon, 46884 chars)
[256/542] Knox... ok (Polygon, 323056 chars)
[257/542] Kojonup... ok (Polygon, 52152 chars)
[258/542] Kondinin... ok (Polygon, 15292 chars)
[259/542] Koorda... ok (Polygon, 65847 chars)
[260/542] Kowanyama... ok (Polygon, 61966 chars)
[261/542] Kulin... ok (Polygon, 19303 chars)
[262/542] Ku-ring-gai... ok (Polygon, 125664 chars)
[263/542] Kwinana... ok (Polygon, 28184 chars)
[264/542] Kyogle... ok (Polygon, 559666 chars)
[265/542] Lachlan... ok (Polygon, 583346 chars)
[266/542] Lake Grace... ok (Polygon, 19854 chars)
[267/542] Lake Macquarie... ok (MultiPolygon, 597723 chars)
[268/542] Lane Cove... ok (Polygon, 92133 chars)
[269/542] Latrobe (Tas.)... ok (MultiPolygon, 699217 chars)
[270/542] Latrobe (Vic.)... ok (Polygon, 238295 chars)
[271/542] Launceston... ok (Polygon, 276226 chars)
[272/542] Laverton... ok (Polygon, 13729 chars)
[273/542] Leeton... ok (Polygon, 98786 chars)
[274/542] Leonora... ok (Polygon, 11019 chars)
[275/542] Light... ok (Polygon, 218340 chars)
[276/542] Lismore... ok (Polygon, 376101 chars)
[277/542] Litchfield... ok (MultiPolygon, 78778 chars)
[278/542] Lithgow... ok (Polygon, 463308 chars)
[279/542] Liverpool... ok (Polygon, 113203 chars)
[280/542] Liverpool Plains... ok (Polygon, 143343 chars)
[281/542] Livingstone... ok (MultiPolygon, 814266 chars)
[282/542] Lockhart... ok (Polygon, 73176 chars)
[283/542] Lockhart River... ok (MultiPolygon, 157741 chars)
[284/542] Lockyer Valley... ok (Polygon, 79064 chars)
[285/542] Loddon... ok (Polygon, 180333 chars)
[286/542] Logan... ok (Polygon, 103403 chars)
[287/542] Longreach... ok (Polygon, 35234 chars)
[288/542] Lower Eyre Peninsula... ok (MultiPolygon, 610870 chars)
[289/542] Loxton Waikerie... ok (Polygon, 56819 chars)
[290/542] MacDonnell... ok (MultiPolygon, 25083 chars)
[291/542] Macedon Ranges... ok (Polygon, 98523 chars)
[292/542] Mackay... ok (MultiPolygon, 279656 chars)
[293/542] Maitland... ok (Polygon, 45441 chars)
[294/542] Mandurah... ok (MultiPolygon, 181160 chars)
[295/542] Manjimup... ok (MultiPolygon, 530884 chars)
[296/542] Manningham... ok (Polygon, 171610 chars)
[297/542] Mansfield... ok (MultiPolygon, 301858 chars)
[298/542] Mapoon... ok (MultiPolygon, 26114 chars)
[299/542] Maralinga Tjarutja... ok (Polygon, 10087 chars)
[300/542] Maranoa... ok (Polygon, 87886 chars)
[301/542] Mareeba... ok (Polygon, 196206 chars)
[302/542] Maribyrnong... ok (Polygon, 27736 chars)
[303/542] Marion... ok (Polygon, 25500 chars)
[304/542] Maroondah... ok (Polygon, 72949 chars)
[305/542] McKinlay... ok (Polygon, 41532 chars)
[306/542] Meander Valley... ok (Polygon, 483181 chars)
[307/542] Meekatharra... ok (Polygon, 26442 chars)
[308/542] Melbourne... ok (Polygon, 32950 chars)
[309/542] Melton... ok (Polygon, 151396 chars)
[310/542] Melville... ok (Polygon, 40609 chars)
[311/542] Menzies... ok (Polygon, 10996 chars)
[312/542] Merredin... ok (Polygon, 23038 chars)
[313/542] Mid-Coast... ok (MultiPolygon, 1414886 chars)
[314/542] Mid Murray... ok (Polygon, 90714 chars)
[315/542] Mid-Western Regional... ok (Polygon, 893657 chars)
[316/542] Mildura... ok (Polygon, 517544 chars)
[317/542] Mingenew... ok (Polygon, 7860 chars)
[318/542] Mitcham... ok (Polygon, 75294 chars)
[319/542] Mitchell... ok (Polygon, 372137 chars)
[320/542] Moira... ok (Polygon, 673881 chars)
[321/542] Monash... ok (Polygon, 227668 chars)
[322/542] Moonee Valley... ok (Polygon, 50425 chars)
[323/542] Moora... ok (Polygon, 13156 chars)
[324/542] Moorabool... ok (Polygon, 298560 chars)
[325/542] Morawa... ok (Polygon, 9331 chars)
[326/542] Moree Plains... ok (Polygon, 935490 chars)
[327/542] Moreland... ok (Polygon, 64097 chars)
[328/542] Moreton Bay... ok (MultiPolygon, 290906 chars)
[329/542] Mornington... ok (MultiPolygon, 126745 chars)
[330/542] Mornington Peninsula... ok (MultiPolygon, 414884 chars)
[331/542] Mosman... ok (Polygon, 94109 chars)
[332/542] Mosman Park... ok (Polygon, 11564 chars)
[333/542] Mount Alexander... ok (Polygon, 362511 chars)
[334/542] Mount Barker... ok (Polygon, 102029 chars)
[335/542] Mount Gambier... ok (Polygon, 3874 chars)
[336/542] Mount Isa... ok (Polygon, 20961 chars)
[337/542] Mount Magnet... ok (Polygon, 6253 chars)
[338/542] Mount Marshall... ok (Polygon, 70386 chars)
[339/542] Mount Remarkable... ok (Polygon, 41746 chars)
[340/542] Moyne... ok (Polygon, 287481 chars)
[341/542] Mukinbudin... ok (Polygon, 7762 chars)
[342/542] Mundaring... ok (Polygon, 85075 chars)
[343/542] Murchison... ok (Polygon, 15013 chars)
[344/542] Murray... ok (Polygon, 177441 chars)
[345/542] Murray Bridge... ok (Polygon, 54198 chars)
[346/542] Murray River... ok (Polygon, 1237889 chars)
[347/542] Murrindindi... ok (Polygon, 309014 chars)
[348/542] Murrumbidgee... ok (Polygon, 255323 chars)
[349/542] Murweh... ok (Polygon, 67964 chars)
[350/542] Muswellbrook... ok (Polygon, 543779 chars)
[351/542] Nambucca Valley... ok (MultiPolygon, 203418 chars)
[352/542] Nannup... ok (Polygon, 193840 chars)
[353/542] Napranum... ok (MultiPolygon, 72703 chars)
[354/542] Naracoorte Lucindale... ok (Polygon, 11094 chars)
[355/542] Narembeen... ok (Polygon, 13101 chars)
[356/542] Narrabri... ok (Polygon, 188875 chars)
[357/542] Narrandera... ok (Polygon, 41819 chars)
[358/542] Narrogin... ok (Polygon, 16512 chars)
[359/542] Narromine... ok (Polygon, 757710 chars)
[360/542] Nedlands... ok (Polygon, 29789 chars)
[361/542] Newcastle... ok (MultiPolygon, 174887 chars)
[362/542] Ngaanyatjarraku... ok (Polygon, 11886 chars)
[363/542] Nillumbik... ok (Polygon, 139799 chars)
[364/542] Noosa... ok (Polygon, 107862 chars)
[365/542] Northam... ok (Polygon, 18990 chars)
[366/542] Northampton... ok (MultiPolygon, 327844 chars)
[367/542] North Burnett... ok (Polygon, 155508 chars)
[368/542] Northern Areas... ok (Polygon, 33332 chars)
[369/542] Northern Beaches... ok (MultiPolygon, 1067472 chars)
[370/542] Northern Grampians... ok (Polygon, 228832 chars)
[371/542] Northern Midlands... ok (Polygon, 334240 chars)
[372/542] Northern Peninsula Area... ok (MultiPolygon, 66411 chars)
[373/542] North Sydney... ok (Polygon, 143782 chars)
[374/542] Norwood Payneham and St Peters... ok (Polygon, 22350 chars)
[375/542] Nungarin... ok (Polygon, 10070 chars)
[376/542] Oberon... ok (Polygon, 636293 chars)
[377/542] Onkaparinga... ok (Polygon, 124964 chars)
[378/542] Orange... ok (Polygon, 22368 chars)
[379/542] Orroroo Carrieton... ok (Polygon, 5907 chars)
[380/542] Palmerston... ok (MultiPolygon, 9130 chars)
[381/542] Palm Island... ok (MultiPolygon, 68977 chars)
[382/542] Parkes... ok (Polygon, 569568 chars)
[383/542] Paroo... ok (Polygon, 25318 chars)
[384/542] Parramatta... ok (Polygon, 86020 chars)
[385/542] Penrith... ok (Polygon, 115792 chars)
[386/542] Peppermint Grove... ok (Polygon, 7200 chars)
[387/542] Perenjori... ok (Polygon, 16925 chars)
[388/542] Perth... ok (Polygon, 62486 chars)
[389/542] Peterborough... ok (Polygon, 7967 chars)
[390/542] Pingelly... ok (Polygon, 60639 chars)
[391/542] Plantagenet... ok (Polygon, 116996 chars)
